init_goal,time
wp5_wp2,1.264785086001211312e+00
wp5_wp3,1.239500533003592864e+00
wp5_wp4,1.271480284005519934e+00
wp5_wp6,1.239816428002086468e+00
wp5_wp7,1.265314209995267447e+00
wp5_wp8,1.334964711000793613e+00
wp5_wp9,1.274705374999030028e+00
wp5_wp10,1.276135698004509322e+00
wp5_wp11,1.317727722998824902e+00
wp5_wp12,1.267581350999535061e+00
wp5_wp13,1.267341235005005728e+00
wp5_wp14,1.249531588000536431e+00
wp5_wp15,1.262832253996748477e+00
wp5_wp16,1.267992622000747360e+00
wp5_wp17,1.281924809998599812e+00
wp5_wp18,1.273517858004197478e+00
wp5_wp19,1.302082620000874158e+00
wp5_wp21,1.250904929001990240e+00
wp5_wp22,1.289311305998126045e+00
wp5_wp23,1.244621546997223049e+00
wp5_wp24,1.329142492002574727e+00
wp5_wp25,1.304956325999228284e+00
wp5_wp26,1.317747957000392489e+00
wp5_wp27,1.319421583000803366e+00
wp5_wp28,1.284261713997693732e+00
wp5_wp29,1.290163321005820762e+00
wp5_wp30,1.250096492003649473e+00
wp5_wp31,1.253435387996432837e+00
wp5_wp32,1.248379623000801075e+00
wp5_wp33,1.252313524004421197e+00
wp5_wp34,1.266730818999349140e+00
wp5_wp35,1.254431556997587904e+00
wp5_wp36,1.240040406999469269e+00
wp5_wp37,1.247430492003331892e+00
wp5_wp38,1.299802961002569646e+00
wp5_wp39,1.248506281997833867e+00
wp5_wp40,1.249601907999021932e+00
wp5_wp42,1.280655398004455492e+00
wp5_wp43,1.259734029998071492e+00
wp5_wp44,1.267030037000949960e+00
wp5_wp45,1.257079164002789184e+00
wp5_wp46,1.286942145998182241e+00
wp5_wp47,1.271862545996555127e+00
wp5_wp48,1.258397181998589076e+00
wp5_wp49,1.262211107998155057e+00
wp5_wp50,1.302683788999274839e+00
wp5_wp51,1.263703469005122315e+00
wp5_wp52,1.272643555006652605e+00
wp5_wp53,1.271677669996279292e+00
wp5_wp54,1.270035886998812202e+00
wp5_wp55,1.252605846995720640e+00
wp5_wp56,1.241645406000316143e+00
wp5_wp57,1.279611530000693165e+00
wp5_wp58,1.269479899005091283e+00
wp6_wp1,1.291801154999120627e+00
wp6_wp2,1.259627224004361778e+00
wp6_wp3,1.240391403996909503e+00
wp6_wp4,1.251250091998372227e+00
wp6_wp5,1.240599960998224560e+00
wp6_wp7,1.277304071998514701e+00
wp6_wp8,1.237103570994804613e+00
wp6_wp9,1.250006066002242733e+00
wp6_wp10,1.244186661999265198e+00
wp6_wp11,1.254984277002222370e+00
wp6_wp12,1.263983952994749416e+00
wp6_wp13,1.273113653995096684e+00
wp6_wp14,1.276196369995886926e+00
wp6_wp15,1.283419909996155184e+00
wp6_wp16,1.255011633998947218e+00
wp6_wp17,1.251286320999497548e+00
wp6_wp18,1.243917546002194285e+00
wp6_wp19,1.245810022999648936e+00
wp6_wp21,1.263721628994971979e+00
wp6_wp22,1.250374297997041140e+00
wp6_wp23,1.261430856997321825e+00
wp6_wp24,1.261767019001126755e+00
wp6_wp25,1.270370343998365570e+00
wp6_wp26,1.248080637000384741e+00
wp6_wp27,1.255354963002901059e+00
wp6_wp28,1.243613760998414364e+00
wp6_wp29,1.247974127996712923e+00
wp6_wp30,1.293549797999730799e+00
wp6_wp31,1.246163196999987122e+00
wp6_wp32,1.255861411002115346e+00
wp6_wp33,1.254969203000655398e+00
wp6_wp34,1.245659282001724932e+00
wp6_wp35,1.249205036001512781e+00
wp6_wp36,1.267499487003078684e+00
wp6_wp37,1.294967066001845524e+00
wp6_wp38,1.263545889996748883e+00
wp6_wp39,1.246642812999198213e+00
wp6_wp40,1.286582184999133460e+00
wp6_wp42,1.280801093002082780e+00
wp6_wp43,1.249625048003508709e+00
wp6_wp44,1.265004038999904878e+00
wp6_wp45,1.314770532000693493e+00
wp6_wp46,1.249959572996885981e+00
wp6_wp47,1.249858850002055988e+00
wp6_wp48,1.251057457004208118e+00
wp6_wp49,1.261587628003326245e+00
wp6_wp50,1.256141635996755213e+00
wp6_wp51,1.258394759002840146e+00
wp6_wp52,1.256037740000465419e+00
wp6_wp53,1.281059496002853848e+00
wp6_wp54,1.251190789997053798e+00
wp6_wp55,1.247278558999823872e+00
wp6_wp56,1.264493016999040265e+00
wp6_wp57,1.257545668995589949e+00
wp6_wp58,1.260957393002172466e+00
wp7_wp1,1.245419291997677647e+00
wp7_wp2,1.255640012997901067e+00
wp7_wp3,1.269074934003583621e+00
wp7_wp4,1.261120984003355261e+00
wp7_wp5,1.253260498997406103e+00
wp7_wp6,1.244189999000809621e+00
wp7_wp8,1.243578718997014221e+00
wp7_wp9,1.241234563996840734e+00
wp7_wp10,1.254517708999628667e+00
wp7_wp11,1.339967201995023061e+00
wp7_wp12,1.273214825996547006e+00
wp7_wp13,1.281527405000815634e+00
wp7_wp14,1.267627630993956700e+00
wp7_wp15,1.263276978999783751e+00
wp7_wp16,1.275619111998821609e+00
wp7_wp17,1.279656916995008942e+00
wp7_wp18,1.266665344999637455e+00
wp7_wp19,1.292503237003984395e+00
wp7_wp21,1.252031963995250408e+00
wp7_wp22,1.284415722002449911e+00
wp7_wp23,1.257152187004976440e+00
wp7_wp24,1.262107089001801796e+00
wp7_wp25,1.260991133000061382e+00
wp7_wp26,1.260009960002207663e+00
wp7_wp27,1.254640310995455366e+00
wp7_wp28,1.244818564999150112e+00
wp7_wp29,1.238817903002200183e+00
wp7_wp30,1.255020404001697898e+00
wp7_wp31,1.255754011996032204e+00
wp7_wp32,1.255318139999872074e+00
wp7_wp33,1.260696473000280093e+00
wp7_wp34,1.249661578003724571e+00
wp7_wp35,1.259828706999542192e+00
wp7_wp36,1.246783055001287721e+00
wp7_wp37,1.249277321003319230e+00
wp7_wp38,1.244628669999656267e+00
wp7_wp39,1.251066438002453651e+00
wp7_wp40,1.256657369005552027e+00
wp7_wp42,1.258971023999038152e+00
wp7_wp43,1.246902915001555812e+00
wp7_wp44,1.254982575002941303e+00
wp7_wp45,1.257957559995702468e+00
wp7_wp46,1.261045608000131324e+00
